model,error_mean,energy_norm_mean
run_a6_b4,0.3847681843986098,0.051308825912947456
run_a10_b4,0.2559382116906819,0.11435146229304374
run_a8_b4,0.09965791804291267,0.06622796493917704
run_a8_b3,0.25120716186686676,0.05891850235126912
run_a6_b3,0.35717791989381925,0.05025529108569026
run_a10_b3,0.17031805403111078,0.06340277905650438
run_a10_b6,0.2634000853737094,0.5320555348688115
run_a8_b6,0.19017090184077493,0.06077056104503571
run_a6_b6,0.17433285706043633,0.061814035806059826
